,NPD_WELL_BORE_CODE,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL,FLOW_KIND,WELL_TYPE
35,7405.0,24.0,226.02299999999997,107.772,155.797,22.787799999999997,46.93359,70.226,56.885,41.806999999999995,769.0,111238.0,0.0,0.0,production,OP
36,7405.0,24.0,226.905,107.71700000000001,156.577,19.2642,46.3352,70.328,54.255,41.926,741.0,107144.0,0.0,0.0,production,OP
37,7405.0,24.0,225.576,107.741,156.204,22.7878,45.16209,69.372,54.995,40.981,713.0,102881.0,0.0,0.0,production,OP
38,7405.0,24.0,225.893,107.709,156.826,18.670400000000004,46.31644,69.067,48.598,40.650999999999996,744.0,106745.0,0.0,0.0,production,OP
39,7405.0,24.0,225.70100000000002,107.71,157.108,18.6704,46.346140000000005,68.593,48.378,40.138000000000005,736.0,104864.0,0.0,0.0,production,OP
40,7405.0,24.0,223.60299999999998,107.77799999999999,156.346,23.996000000000002,47.08721,67.256,53.92100000000001,38.84,783.0,110078.0,0.0,0.0,production,OP
41,7405.0,24.0,220.102,107.889,154.695,26.304600000000004,47.76981,65.407,53.832,36.99,835.0000000000001,117388.00000000001,0.0,0.0,production,OP
42,7405.0,24.0,220.49000000000004,107.86,155.17600000000002,26.304600000000004,47.13595,65.314,55.754,36.906,788.9999999999999,109517.0,0.0,0.0,production,OP
43,7405.0,24.0,220.15400000000002,107.859,155.238,26.304600000000004,47.14247,64.916,55.628,36.509,783.0,109361.99999999999,0.0,0.0,production,OP
44,7405.0,24.0,220.06599999999997,107.851,155.375,24.4858,46.52459,64.691,52.23600000000001,36.281,744.0,104993.0,0.0,0.0,production,OP
45,7405.0,24.0,219.983,107.852,155.547,26.304600000000004,46.288999999999994,64.436,53.661,36.019,735.0,107116.0,0.0,0.0,production,OP
46,7405.0,24.0,219.863,107.867,155.572,24.649400000000004,46.28423,64.291,49.053,35.873000000000005,743.0,108079.0,93.0,0.0,production,OP
47,7405.0,24.0,219.923,107.883,155.753,26.304600000000004,46.24216,64.17,54.691,35.751,747.0000000000001,108387.0,99.99999999999999,0.0,production,OP
48,7405.0,24.0,219.977,107.90299999999999,155.904,26.304600000000004,46.26168,64.07300000000001,55.230999999999995,35.671,751.0,105810.0,101.00000000000006,0.0,production,OP
49,7405.0,24.0,219.97400000000002,107.921,156.043,26.304600000000004,46.26511,63.93,55.103,35.529,727.0,106514.0,86.99999999999996,0.0,production,OP
50,7405.0,24.0,219.97999999999996,107.936,156.243,26.304600000000004,46.22633,63.736999999999995,55.31100000000001,35.335,716.0,105800.0,90.99999999999999,0.0,production,OP
51,7405.0,24.0,219.26700000000002,107.445,155.716,26.304600000000004,46.215,63.55100000000001,55.507999999999996,35.155,695.0,102250.0,77.00000000000001,0.0,production,OP
52,7405.0,24.0,220.007,107.962,156.549,26.304600000000004,46.21506,63.458000000000006,56.17100000000001,35.052,699.0,102824.0,77.00000000000001,0.0,production,OP
53,7405.0,24.0,220.0,107.97399999999999,156.665,26.304600000000004,46.23157,63.335,55.852,34.924,704.0,103978.0,77.99999999999996,0.0,production,OP
54,7405.0,24.0,219.994,107.985,156.783,26.304600000000004,46.2074,63.21,55.596000000000004,34.793,716.0,105761.0,79.00000000000003,0.0,production,OP
55,7405.0,24.0,220.00599999999997,107.994,156.864,26.304600000000004,46.264790000000005,63.141999999999996,55.963,34.726,724.0,107035.99999999999,79.99999999999997,0.0,production,OP
56,7405.0,22.0,221.328,107.825,157.53799999999998,24.486000000000004,41.7134,63.79,50.77399999999999,35.352,460.0,68263.0,46.0,0.0,production,OP
57,7405.0,24.0,220.24,107.965,157.868,26.304600000000004,46.19319,62.373000000000005,53.047,33.946999999999996,715.0,104866.0,81.00000000000004,0.0,production,OP
58,7405.0,24.0,221.268,107.961,159.451,26.304600000000004,46.157309999999995,61.817,53.736,33.387,707.0,104234.0,79.99999999999997,0.0,production,OP
59,7405.0,24.0,221.045,107.973,158.75799999999998,26.304600000000004,47.04157,62.286,54.245,33.842,677.0,99517.0,90.99999999999999,0.0,production,OP
60,7405.0,24.0,220.75,107.98700000000001,157.674,26.304600000000004,47.2027,63.076,56.534,34.646,690.0,99850.0,92.00000000000006,0.0,production,OP
61,7405.0,24.0,220.64,107.994,157.278,26.304600000000004,47.194109999999995,63.361999999999995,56.615,34.934,694.0,100306.0,92.00000000000006,0.0,production,OP
62,7405.0,24.0,220.50400000000002,108.00299999999999,157.185,26.304599999999997,47.15202,63.318999999999996,52.051,34.891999999999996,691.0,99959.0,90.99999999999999,0.0,production,OP
63,7405.0,19.5,221.451,107.757,159.113,13.0044,38.97891,62.336999999999996,53.559,34.67,238.0,34916.0,28.0,0.0,production,OP
64,7405.0,24.0,220.852,107.991,158.075,26.304600000000004,46.51253,62.777,54.486,34.352,647.0,95262.0,84.99999999999994,0.0,production,OP
